Thời gian,Vật phẩm,Người thắng,Giá chốt ($)
2025-12-19 12:37:53,đâsd,Chưa có,1234
2025-12-19 12:45:35,naruto,Dang1,1000
2025-12-19 12:46:08,naruto,Chưa có,900
2025-12-19 12:50:34,đâs,dang2,1000
2025-12-19 13:04:44,asdasd,Chưa có,100
2025-12-19 13:05:40,asdasd,huynh,200
2025-12-20 07:26:35,đâsd,Chưa có,1000
2025-12-20 07:27:26,đâsd,Chưa có,1000
2025-12-20 07:30:35,Dragon Sword,Chưa có,1000
2025-12-20 07:40:00,dragonball,dang1,1800
2025-12-20 07:46:37,ưqeqw,dang1,22312
2025-12-20 07:47:23,ưqeqw,dang1,21862
